z_mm,Без перекоса,"G6,3 + номинальная сила",G16 + предельные зазоры
-0.9045226130653261,34.933583554853115,35.021954457649805,35.69296445942204
-0.7035175879396993,34.933583554853115,35.002316479250545,35.52421314729562
-0.5025125628140703,34.933583554853115,34.98267850085127,35.35546183516919
-0.3015075376884413,34.933583554853115,34.96304052245201,35.186710523042755
-0.1005025125628145,34.933583554853115,34.94340254405274,35.01795921091633
0.10050251256281229,34.933583554853115,34.923764565653485,34.8492078987899
0.3015075376884413,34.933583554853115,34.90412658725421,34.68045658666346
0.5025125628140703,34.933583554853115,34.88448860885495,34.511705274537036
0.7035175879396993,34.933583554853115,34.86485063045568,34.342953962410604
0.9045226130653283,34.933583554853115,34.84521265205642,34.17420265028417
1.1055276381909531,34.933583554853115,34.82557467365715,34.00545133815775
1.306532663316582,34.933583554853115,34.805936695257884,33.83670002603132
1.507537688442211,34.933583554853115,34.78629871685862,33.66794871390489
1.70854271356784,34.933583554853115,34.76666073845935,33.49919740177845
1.909547738693469,34.933583554853115,34.74702276006009,33.33044608965202
2.110552763819098,34.933583554853115,34.727384781660824,33.1616947775256
2.3115577889447225,34.933583554853115,34.70774680326156,32.992943465399165
2.512562814070352,34.933583554853115,34.68810882486229,32.82419215327274
2.7135678391959805,34.933583554853115,34.66847084646303,32.65544084114631
2.9145728643216096,34.933583554853115,34.64883286806376,32.48668952901988
